Field_ID,Pollution_level,Plot_size,Crop_type,Annual_yield,Standard_yield
6747,0.04,3.1,coffee,1.55,0.5
32051,0.22,1.3,potato,0.73,0.56
297,0.17,4.6,tea,3.7,0.8
10159,0.26,4.4,maize,2.41,0.55
24293,0.14,10.9,tea,8.25,0.76
34278,0.05,2.9,banana,1.72,0.59
5576,0.14,7.6,coffee,4.34,0.57
14831,0.02,0.6,coffee,0.26,0.43
3673,0.47,1.1,cassava,0.48,0.44
23808,0.38,2.0,tea,1.33,0.67
33969,0.78,4.2,coffee,1.01,0.24
25089,0.63,3.6,tea,1.48,0.41
24095,0.69,1.6,wheat,0.72,0.45
31079,0.01,4.0,rice,2.26,0.57
20033,0.3,3.0,potato,1.79,0.6
17951,0.22,3.6,potato,1.86,0.52
30870,0.13,0.7,banana,0.45,0.64
26848,0.23,14.9,banana,6.21,0.42
36977,0.0,9.5,banana,4.22,0.44
1444,0.08,2.9,wheat,1.64,0.57
22812,0.4,4.2,tea,2.96,0.7
1232,0.38,2.3,cassava,1.03,0.45
40519,0.36,3.9,wheat,1.78,0.46
43930,0.26,3.4,potato,1.9,0.56
30912,0.13,1.2,banana,0.47,0.39
14757,0.31,7.5,wheat,4.53,0.6
28811,0.1,10.2,tea,5.59,0.55
10385,0.4,2.7,wheat,0.98,0.36
15207,0.59,0.5,cassava,0.17,0.34
31266,0.02,1.0,wheat,0.74,0.74
5504,0.16,3.8,tea,2.97,0.78
10592,0.74,1.8,coffee,0.45,0.25
18005,0.9,4.7,wheat,2.39,0.51
16235,0.0,10.4,tea,7.48,0.72
19108,0.02,1.0,coffee,0.54,0.54
42085,0.21,5.3,tea,4.04,0.76
40028,0.05,1.9,cassava,0.88,0.46
16100,0.32,2.4,coffee,0.97,0.4
564,0.04,1.3,banana,0.56,0.43
29861,0.2,1.1,potato,0.51,0.46
8909,0.06,1.1,cassava,0.62,0.56
2111,0.17,0.8,tea,0.53,0.66
43576,0.08,1.5,wheat,0.73,0.49
31571,0.15,5.2,tea,2.62,0.5
24830,0.04,3.5,tea,2.23,0.64
24862,0.06,9.3,banana,4.16,0.45
9354,0.03,14.5,cassava,5.8,0.4
11987,0.29,4.9,maize,2.38,0.49
3899,0.39,2.8,coffee,1.23,0.44
17075,0.25,6.8,maize,3.32,0.49
14261,0.75,5.5,wheat,1.58,0.29
40226,0.05,1.1,cassava,0.41,0.37
36710,0.25,3.2,potato,2.08,0.65
26540,0.21,3.2,rice,1.93,0.6
18035,0.09,1.1,rice,0.8,0.73
34479,0.04,3.0,wheat,1.35,0.45
10853,0.0,3.1,banana,1.33,0.43
37559,0.4,0.7,potato,0.39,0.56
17002,0.0,10.4,rice,5.67,0.55
26182,0.07,11.2,cassava,4.16,0.37
25668,0.16,3.3,tea,2.66,0.81
24280,0.01,4.9,wheat,2.32,0.47
16987,0.1,3.2,wheat,1.59,0.5
11396,0.9,1.2,coffee,0.33,0.28
6939,0.03,0.6,potato,0.33,0.55
30879,0.2,1.5,coffee,0.63,0.42
8510,0.04,2.9,coffee,1.59,0.55
19382,0.08,3.6,coffee,1.41,0.39
16169,0.05,1.5,tea,1.12,0.75
32932,0.01,1.2,wheat,0.63,0.53
11470,0.13,4.3,banana,2.18,0.51
31850,0.12,2.6,wheat,1.46,0.56
32908,0.03,2.7,wheat,1.79,0.66
18842,0.13,4.7,banana,2.95,0.63
19736,0.08,8.8,tea,5.32,0.6
15499,0.0,3.5,banana,1.35,0.39
41314,0.18,1.7,rice,0.91,0.53
10189,0.02,1.4,banana,0.82,0.59
2608,0.78,1.3,cassava,0.65,0.5
14695,0.89,8.2,coffee,1.96,0.24
30789,0.08,4.1,banana,1.77,0.43
2348,0.43,1.1,maize,0.52,0.47
44630,0.31,2.4,cassava,1.34,0.56
37929,0.31,3.5,potato,2.07,0.59
13205,0.03,2.2,wheat,1.21,0.55
14856,0.97,1.2,tea,0.62,0.52
44842,0.02,12.0,banana,6.87,0.57
6181,0.62,1.5,wheat,0.8,0.53
19892,0.03,4.5,potato,2.71,0.6
41659,0.32,11.7,maize,6.13,0.52
884,0.22,1.7,tea,1.12,0.66
3831,0.03,1.3,coffee,0.72,0.56
11912,0.12,0.6,wheat,0.3,0.51
41458,0.21,8.8,tea,6.68,0.76
11605,0.4,1.6,tea,0.44,0.27
22393,0.14,3.5,rice,2.09,0.6
34315,0.27,2.8,potato,1.75,0.62
38499,0.43,4.5,potato,2.61,0.58
44502,0.29,2.7,rice,1.44,0.53
7949,0.15,2.8,wheat,1.32,0.47
28844,0.1,3.7,coffee,1.85,0.5
3125,0.09,0.8,coffee,0.39,0.48
24543,0.07,1.3,rice,0.87,0.67
21785,0.47,1.7,potato,0.9,0.53
38048,0.42,10.9,coffee,3.95,0.36
44929,0.29,2.7,maize,1.41,0.52
43256,0.02,3.2,banana,1.52,0.48
12608,0.0,3.8,banana,1.68,0.44
25171,0.0,6.1,rice,3.41,0.56
43953,0.23,1.3,wheat,0.88,0.68
10877,0.2,4.6,potato,2.84,0.62
24802,0.67,14.6,cassava,7.18,0.49
36467,0.78,8.4,coffee,2.01,0.24
42197,0.34,4.5,potato,2.34,0.52
34762,0.1,2.2,banana,0.77,0.35
12048,0.02,1.1,rice,0.55,0.5
42501,0.21,1.2,wheat,0.82,0.68
8156,0.07,10.2,tea,5.73,0.56
41225,0.0,3.5,rice,2.13,0.61
38334,0.0,11.7,banana,5.35,0.46
13857,0.04,4.1,cassava,2.17,0.53
14295,0.15,3.7,wheat,2.41,0.65
15427,0.0,2.2,banana,0.71,0.32
41024,0.09,0.7,wheat,0.34,0.49
35874,0.01,0.9,wheat,0.47,0.53
13424,0.11,4.9,banana,2.75,0.56
34438,0.47,2.8,coffee,1.14,0.41
14092,0.5,7.3,wheat,3.49,0.48
7168,0.36,2.5,cassava,1.15,0.46
5847,0.45,2.5,wheat,1.17,0.47
8374,0.3,1.4,wheat,0.78,0.55
7175,0.73,4.9,banana,1.94,0.4
14848,0.04,2.3,banana,1.11,0.48
19297,0.01,3.4,tea,2.54,0.75
19425,0.16,1.5,cassava,0.89,0.59
28777,0.11,3.1,wheat,1.96,0.63
14189,0.15,9.8,cassava,5.15,0.53
37880,0.8,14.6,coffee,3.33,0.23
16711,0.03,1.6,potato,1.0,0.63
853,0.48,4.1,maize,2.47,0.6
43921,0.01,2.6,banana,1.47,0.56
44305,0.21,12.6,wheat,7.16,0.57
30860,0.2,2.4,coffee,0.85,0.35
35042,0.0,1.4,banana,0.57,0.41
18515,0.13,14.5,wheat,10.65,0.73
15239,0.01,2.3,cassava,1.19,0.52
7336,0.67,4.8,coffee,1.46,0.3
37642,0.22,3.0,maize,1.51,0.5
13168,0.87,3.3,coffee,0.97,0.29
27146,0.05,8.9,maize,5.43,0.61
22678,0.75,0.7,wheat,0.37,0.53
12958,0.0,9.6,rice,5.3,0.55
19931,0.25,9.7,wheat,5.54,0.57
15107,0.36,4.0,cassaval,2.11,0.53
37509,0.14,4.1,wheat,1.96,0.48
1710,0.42,0.9,coffee,0.31,0.35
38933,0.53,4.2,wheat,1.76,0.42
41495,0.11,1.3,wheat,0.79,0.61
38323,0.55,4.7,cassava,2.59,0.55
26701,0.74,1.1,wheat,0.43,0.39
5223,0.0,2.0,wheat,0.97,0.49
36577,0.14,3.9,wheat,2.12,0.54
42779,0.37,0.9,potato,0.51,0.57
22667,0.21,1.3,cassava,0.76,0.58
8726,0.33,14.8,wheat,7.67,0.52
42417,0.21,1.5,cassava,0.71,0.47
27627,0.07,1.5,wheat,0.92,0.61
39446,0.07,1.5,coffee,0.81,0.54
38066,0.24,0.7,potato,0.44,0.62
31504,0.12,1.8,potato,1.19,0.66
8647,0.15,1.6,wheat,1.07,0.67
35118,0.3,4.0,cassava,1.98,0.5
33432,0.29,0.8,wheat,0.46,0.58
1219,0.18,1.4,tea,1.17,0.84
5488,0.12,3.1,cassava,1.06,0.34
11847,0.22,4.1,tea,2.0,0.49
36641,0.23,2.3,wheat,1.2,0.52
17515,0.27,7.8,tea,5.9,0.76
32458,0.01,9.4,cassava,4.29,0.46
18216,0.76,4.3,coffee,0.97,0.23
16922,0.25,14.1,tea,8.83,0.63
9459,0.0,2.9,wheatn,1.52,0.52
16243,0.4,5.4,cassava,3.15,0.58
39835,0.0,12.5,coffee,6.66,0.53
15842,0.0,4.1,wheat,1.73,0.42
5991,0.12,8.4,tea,6.5,0.77
1704,0.31,1.0,wheat,0.66,0.66
42196,0.0,0.7,banana,0.32,0.46
39260,0.28,8.7,wheat,4.65,0.53
32485,0.27,2.0,coffee,0.8,0.4
4326,0.23,4.7,banana,1.69,0.36
39998,0.3,1.1,potato,0.65,0.59
22385,0.01,4.1,banana,1.5,0.37
35166,0.2,1.8,rice,1.19,0.66
20265,0.25,3.3,maize,1.72,0.52
37132,0.08,4.1,coffee,1.73,0.42
7625,0.11,14.8,potato,8.84,0.6
20251,0.66,4.6,wheat,1.97,0.43
4524,0.26,4.0,wheat,1.74,0.43
34662,0.22,2.2,cassava,1.07,0.49
9391,0.04,1.3,rice,0.79,0.61
35248,0.08,0.6,tea,0.41,0.68
39437,0.26,2.6,maize,1.54,0.59
29408,0.38,3.8,wheat,2.0,0.53
38208,0.0,2.5,wheat,1.39,0.56
32091,0.09,1.9,maize,0.82,0.43
32874,0.14,2.0,banana,0.93,0.47
6178,0.02,1.0,potato,0.66,0.66
12208,0.11,3.3,tea,2.35,0.71
36280,0.39,0.8,banana,0.39,0.49
20540,0.0,4.9,wheat,2.36,0.48
15557,0.05,1.1,cassava,0.5,0.45
30277,0.21,1.1,tea,0.84,0.76
7220,0.15,1.4,wheat,0.93,0.67
30938,0.09,12.5,banana,6.45,0.52
33811,0.25,0.7,banana,0.38,0.54
4091,0.0,3.3,wheat,1.16,0.35
21048,0.07,1.0,banana,0.56,0.56
35619,0.03,0.7,tea,0.43,0.62
35586,0.08,3.2,cassava,1.83,0.57
16172,0.19,0.6,tea,0.46,0.77
29200,0.0,3.7,banana,1.55,0.42
25554,0.04,5.8,banana,2.22,0.38
29385,0.33,10.9,tea,7.25,0.66
34006,0.52,4.2,cassava,2.44,0.58
30360,0.25,3.4,tea,2.28,0.67
26885,0.53,1.5,cassava,0.91,0.6
34282,0.08,2.6,banana,1.2,0.46
33019,0.41,2.3,cassava,1.18,0.51
23076,0.12,0.6,tea,0.49,0.81
13529,0.22,1.2,potato,0.63,0.53
11433,0.1,12.7,tea,9.47,0.75
21046,0.0,3.4,banana,1.58,0.47
38406,0.14,2.3,potato,1.53,0.67
12465,0.41,8.4,maize,3.77,0.45
42849,0.22,1.2,rice,0.72,0.6
8891,0.3,1.8,wheat,1.02,0.56
22022,0.05,12.1,coffee,5.86,0.48
32063,0.16,0.8,tea,0.39,0.49
32116,0.03,3.3,maize,2.25,0.68
24828,0.13,1.7,banana,0.66,0.39
30903,0.06,0.8,cassava,0.48,0.6
22788,0.51,5.0,cassava,2.73,0.55
11677,0.01,4.0,banana,2.21,0.55
10823,0.53,0.6,potato,0.33,0.54
21989,0.04,8.7,rice,6.21,0.71
20000,0.01,1.1,wheat,0.57,0.52
43372,0.08,3.7,cassava,1.86,0.5
1470,0.04,2.0,wheat,0.95,0.48
22868,0.08,0.6,maize,0.36,0.6
43047,0.16,1.3,coffee,0.66,0.51
2582,0.26,1.6,maize,0.78,0.49
24105,0.01,1.0,potato,0.65,0.65
39232,0.09,1.0,cassava,0.59,0.59
35209,0.12,4.9,coffee,2.63,0.54
29343,0.04,4.7,tea,3.89,0.83
4303,0.01,12.5,rice,5.48,0.44
12557,0.35,9.1,cassava,5.01,0.55
20292,0.23,1.3,tea,0.56,0.43
17220,0.0,7.3,banana,4.24,0.58
27396,0.01,12.5,banana,4.92,0.39
9829,0.06,1.8,banana,1.04,0.58
13595,0.13,2.1,cassava,1.25,0.59
1489,0.05,1.0,rice,0.68,0.68
24886,0.05,1.7,tea,1.38,0.81
19536,0.27,4.3,tea,2.68,0.62
30937,0.36,7.7,tea,4.79,0.62
32682,0.04,2.6,coffee,1.31,0.51
23292,0.2,4.0,tea,2.98,0.74
21351,0.42,2.1,potato,1.3,0.62
13022,0.33,5.1,tea,3.08,0.6
20876,0.41,2.0,coffee,0.58,0.29
15824,0.39,2.8,tea,1.63,0.58
14555,0.17,2.2,potato,1.34,0.61
21212,0.03,7.5,coffee,4.19,0.56
27164,0.22,14.9,coffee,5.36,0.36
11665,0.02,8.5,maize,5.02,0.59
40566,0.21,5.6,maize,2.88,0.52
27085,0.03,0.6,banana,0.3,0.49
23681,0.12,2.6,banana,1.64,0.63
44697,0.64,4.6,cassava,2.14,0.46
12276,0.62,9.4,cassava,3.22,0.34
40982,0.08,0.8,coffee,0.33,0.41
10276,0.2,2.0,wheat,1.15,0.58
37493,0.01,2.8,banana,1.17,0.42
43223,0.06,1.1,potato,0.72,0.65
7439,0.13,0.8,cassava,0.37,0.46
17474,0.41,4.7,cassava,2.48,0.53
9159,0.02,0.8,tea,0.4,0.5
1114,0.12,9.4,coffee,4.36,0.46
43999,0.04,0.6,cassava,0.28,0.46
1812,0.17,1.9,banana,0.99,0.52
33618,0.27,2.6,wheat,1.41,0.54
27870,0.14,2.3,wheat,1.6,0.69
25736,0.09,3.1,tea,2.48,0.8
12773,0.15,8.7,tea,7.26,0.83
14921,0.34,2.6,cassava,1.64,0.63
21786,0.2,9.2,tea,7.24,0.79
21297,0.88,1.9,wheat,0.49,0.26
30797,0.27,0.7,potato,0.39,0.56
39516,0.0,3.0,wheat,1.45,0.48
40260,0.31,1.5,potato,0.85,0.57
4119,0.82,3.7,cassava,1.02,0.28
30781,0.15,1.7,tea,1.02,0.6
18233,0.26,0.7,wheat,0.4,0.57
40068,0.17,4.7,tea,3.63,0.77
22021,0.11,3.7,cassava,1.69,0.46
34931,0.05,4.7,banana,1.83,0.39
18192,0.07,1.8,coffee,0.87,0.48
25631,0.21,4.2,wheat,2.5,0.6
7478,0.06,14.4,tea,9.97,0.69
12642,0.29,2.2,tea,1.3,0.59
19898,0.13,4.9,banana,2.61,0.53
29653,0.11,14.7,coffee,8.66,0.59
19012,0.04,8.7,rice,5.98,0.69
25603,0.11,1.8,wheat,1.05,0.58
3104,0.0,1.5,wheat,0.8,0.53
30655,0.18,1.7,potato,1.12,0.66
35982,0.37,3.9,tea,2.25,0.58
34688,0.08,1.7,wheat,1.02,0.6
12896,0.21,4.2,cassava,2.7,0.64
33652,0.08,2.5,coffee,1.33,0.53
8037,0.82,4.3,coffee,0.96,0.22
13655,0.16,4.4,potato,2.45,0.56
13552,0.06,0.8,tea,0.59,0.74
16000,0.33,1.1,wheat,0.42,0.39
19258,0.0,9.9,rice,6.07,0.61
39865,0.23,1.1,potato,0.65,0.59
30585,0.03,11.0,coffee,6.02,0.55
19700,0.2,1.5,wheat,0.77,0.51
14741,0.73,2.5,cassava,1.13,0.45
27784,0.73,2.8,cassava,1.46,0.52
43054,0.15,2.0,tea,1.76,0.88
1131,0.04,7.0,rice,4.19,0.6
1703,0.26,0.5,wheat,0.21,0.41
10241,0.03,2.0,banana,0.94,0.47
13976,0.07,1.7,cassava,0.64,0.38
32324,0.68,1.3,wheat,0.64,0.49
43553,0.15,0.6,potato,0.37,0.62
24634,0.13,1.3,banana,0.53,0.41
42136,0.06,2.1,tea,1.62,0.77
842,0.19,0.7,tea,0.54,0.77
39514,0.28,1.9,wheat,1.0,0.53
4165,0.29,7.0,banana,4.19,0.6
10217,0.0,7.3,banana,3.23,0.44
17496,0.31,3.5,maize,1.64,0.47
36840,0.04,1.8,banana,1.02,0.57
15016,0.81,3.2,cassava,0.95,0.3
8225,0.65,1.8,coffee,0.66,0.36
26114,0.24,2.1,coffee,0.87,0.42
14128,0.14,1.8,maize,0.88,0.49
15246,0.27,3.5,potato,1.99,0.57
3431,0.35,10.2,tea,7.02,0.69
39096,0.03,0.5,maize,0.33,0.66
28463,0.08,1.2,maize,0.65,0.55
43018,0.27,1.1,potato,0.62,0.56
8538,0.12,4.0,tea,3.52,0.88
10852,0.27,4.5,potato,2.33,0.52
26939,0.35,2.8,potato,1.47,0.52
26831,0.25,3.0,potato,1.84,0.61
399,0.54,0.8,potato,0.46,0.57
7747,0.0,0.5,wheat,0.26,0.52
43836,0.3,1.7,potato,1.06,0.62
15298,0.0,4.4,wheat,2.04,0.46
31112,0.03,2.9,coffee,1.62,0.56
34719,0.0,10.1,banana,4.58,0.45
23578,0.0,3.5,rice,1.97,0.56
22109,0.31,2.8,tea,1.51,0.54
34092,0.19,2.7,potato,1.54,0.57
24975,0.26,1.2,tea,0.58,0.48
12322,0.18,2.1,wheat,1.17,0.56
40803,0.0,1.8,wheat,0.89,0.49
34718,0.43,3.2,tea,1.39,0.43
26965,0.65,4.6,cassava,2.67,0.58
36678,0.03,2.9,banana,1.27,0.44
5010,0.01,4.5,banana,1.85,0.41
17466,0.55,2.3,coffee,0.86,0.37
2893,0.0,1.6,banana,0.63,0.39
32249,0.0,1.0,banana,0.49,0.49
36502,0.04,5.9,cassava,3.49,0.59
6491,0.79,0.7,wheat,0.34,0.48
3617,0.0,5.2,banana,2.45,0.47
39276,0.3,1.1,potato,0.63,0.58
21558,0.25,12.5,maize,7.27,0.58
6753,0.03,0.8,coffee,0.43,0.54
25607,0.36,4.4,coffee,2.49,0.57
25562,0.43,3.4,wheat,2.0,0.59
3609,0.0,1.3,coffee,0.6,0.46
18695,0.02,13.2,wheat,9.2,0.7
9531,0.0,12.5,wheat,6.41,0.51
35500,0.02,4.2,wheat,2.96,0.7
20153,0.01,2.2,tea,1.73,0.79
5356,0.38,8.5,cassava,3.52,0.41
32070,0.31,4.0,maize,1.62,0.4
8057,0.2,5.7,tea,3.99,0.7
14190,0.09,1.3,wheat,0.61,0.47
17102,0.0,4.0,rice,1.67,0.42
43420,0.16,4.1,banana,2.02,0.49
16454,0.29,0.8,wheat,0.37,0.46
13664,0.21,2.3,potato,1.12,0.49
19274,0.76,12.9,maize,4.84,0.38
34671,0.32,2.0,maize,1.19,0.59
17212,0.21,13.7,potato,8.14,0.59
8407,0.54,1.5,wheat,0.83,0.55
29752,0.45,9.4,maize,3.35,0.36
17203,0.0,2.1,coffee,1.11,0.53
45099,0.13,3.6,wheat,2.43,0.68
34657,0.09,4.9,wheat,3.39,0.69
42835,0.31,4.8,wheat,2.4,0.5
13847,0.1,2.6,banana,1.19,0.46
31776,0.44,1.4,maize,0.52,0.37
8249,0.08,4.7,tea,3.82,0.81
16294,0.03,1.5,coffee,0.67,0.45
29664,0.0,3.2,wheat,1.61,0.5
11450,0.45,1.1,potato,0.55,0.5
25152,0.03,0.7,cassava,0.34,0.49
3030,0.84,3.5,cassava,1.96,0.56
12654,0.28,5.6,coffee,3.2,0.57
30658,0.11,2.7,banana,1.36,0.5
13455,0.07,0.9,banana,0.38,0.42
20537,0.03,1.1,wheat,0.46,0.42
24887,0.3,1.4,potato,0.74,0.53
8745,0.73,14.8,wheat,5.45,0.37
43677,0.01,1.3,potato,0.83,0.64
36494,0.03,2.8,rice,1.48,0.53
14005,0.05,0.7,coffee,0.33,0.47
21023,0.1,10.2,banana,4.33,0.42
9619,0.02,1.9,rice,0.92,0.48
22004,0.88,4.1,wheat,1.51,0.37
41577,0.02,1.0,wheat,0.53,0.53
32498,0.25,9.2,wheat,5.06,0.55
13911,0.91,1.4,cassava,0.38,0.27
23327,0.08,1.6,maize,0.93,0.58
7134,0.4,1.5,potato,0.85,0.57
1900,0.4,13.3,wheat,5.54,0.42
29073,0.19,2.9,maize,1.87,0.64
17052,0.83,1.1,wheat,0.41,0.38
25998,0.0,4.6,wheat,2.36,0.51
19354,0.09,3.7,rice,2.33,0.63
39042,0.24,1.1,wheat,0.55,0.5
40148,0.49,2.0,coffee,0.56,0.28
24137,0.03,4.3,wheat,2.83,0.66
8768,0.03,5.5,banana,2.18,0.4
3862,0.01,0.9,banana,0.37,0.42
32331,0.09,2.1,potato,1.19,0.57
454,0.31,1.9,wheat,0.94,0.49
34644,0.45,3.2,potato,1.72,0.54
22902,0.0,4.8,rice,2.95,0.61
18481,0.17,9.7,potato,5.19,0.54
44554,0.61,1.5,potato,0.75,0.5
11348,0.23,1.6,wheat,0.8,0.5
14499,0.03,1.7,tea,1.34,0.79
5657,0.04,1.6,banana,0.69,0.43
16947,0.26,1.0,wheat,0.5,0.5
2191,0.45,1.4,wheat,0.91,0.65
