Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
47,GVE,Tagale,Casova,Africa,162404487,161724615,151758954,149135427,132937598,117084507,107741240,100016428,13924252.05394858,11.66342625591484,1.0530638958605167,0.5337636104921997
48,WSX,Silstan,Rengora,Africa,154722451,152849058,151584151,140267715,132344075,114604349,107678334,93088136,3617756.7074264204,42.76751133717491,1.0066183929916845,0.5085155933528023
49,QMN,Fenstan,Veldale,Americas,140263463,135437008,129659252,127263820,115838899,105691411,91345339,83711331,16879290.034436785,8.309796366662184,1.0368537071776582,0.4609942361445904
50,CGK,Quenhaven,Zargale,Oceania,129625052,127351388,125616711,121844572,111023843,99275033,82906525,77293716,11173328.937035674,11.601292034850808,1.031322799580923,0.4260297054831936
51,MHR,Renlyn,Tador,Oceania,122490704,119042843,116302039,113980038,101567009,91215032,84296846,76276587,9194978.904656306,13.321477435687331,0.9588237734925872,0.4025817366657568
52,TPZ,Nirgale,Kaland,Africa,116010484,109795787,109822051,102232507,96670006,88435025,80899030,70512700,6172763.201657455,18.793930726007748,0.9975400762089479,0.38128364516669766
53,ROZ,Brador,Rendor,Africa,115950434,114794354,111256879,107246115,97356359,83550462,80995477,68043704,3240833.77367608,35.777963973905806,0.964146280037821,0.3810862829792228
54,YLV,Renfield,Fenburg,Oceania,110784552,109933644,105097209,102258196,95406069,80062548,76923710,67239621,11854344.697227534,9.345480904221558,1.0426165643749838,0.36410793540624803
55,PLN,Casland,Nirburg,Americas,109810146,107534794,103683631,100195826,92433372,80232558,74336535,65648011,7491849.305214116,14.65728173731087,1.0194469470782694,0.3609054225061872
56,VIK,Tareth,Quenhaven,Oceania,106658926,103229898,99991026,95727505,89516839,79450433,70635859,63142954,11886638.39941967,8.973010065251694,0.9505717236294068,0.35054852538021536
57,HQB,Tawick,Bragale,Asia,104092134,100740140,98781198,93051074,87663707,77327739,69447931,64317107,15566292.627267541,6.6870215338019126,0.9984522604558173,0.34211242739665104
58,YJJ,Nirport,Dorlyn,Africa,101189926,99587944,93741406,90206684,85737042,75367366,67969889,62451248,16854438.615581967,6.003755349433572,0.9917330381229925,0.33257394081235275
59,XXE,Ashlyn,Renfield,Americas,100026740,98080357,94227264,91958829,83686286,75804916,67724317,60426222,9506983.590972174,10.521396091919769,0.9716126967000538,0.3287509777249229
60,VMF,Lusburg,Tirgora,Asia,87617740,86040631,82886056,82273056,73566469,64071009,60417498,53171687,10061334.057281166,8.708362082122994,0.9965440435218705,0.2879671744880228
61,ADX,Tolnia,Dordor,Americas,73499441,71780181,68543163,67641342,61131336,54416789,49081606,43791049,3015602.630200327,24.373052425384515,1.0551621265711812,0.24156553628545013
62,DHF,Orddor,Tirmoor,Europe,65285750,64107638,61296691,60646065,55298933,49878258,45135840,39753916,12720373.395643786,5.132376854783031,0.986969879463706,0.21457016537782683
63,JGA,Dorlyn,Tastan,Americas,64426414,61656689,61407761,61060979,53958093,46873358,43641409,39501738,3393157.482300835,18.987157046514,0.9683837440961242,0.21174584509912714
64,EGK,Nalfield,Renlyn,Asia,60308581,60450857,57398176,56655759,49822480,44979782,42234919,35180373,11790367.761641406,5.115072084197999,0.9836013661403619,0.1982120477879486
65,DJW,Ordlyn,Renstan,Asia,57490317,55932749,54384485,52035086,49821570,45025885,37925693,34205007,9716477.509827362,5.91678588684568,1.0591394066860305,0.1889494541506177
66,ASI,Tirburg,Renthia,Europe,55065917,53830581,52679133,50132431,44875153,41772492,37992815,32743025,7105215.368437112,7.750070074527873,1.0153696591981873,0.1809813461187424
67,YHL,Morland,Pelreth,Europe,48103298,47728824,45145415,43383504,38967202,36629090,32814179,29466616,6240931.368639114,7.7077114229649535,1.0455529779995838,0.1580977871446508
68,HFZ,Ashport,Nalport,Africa,46935152,46668591,43459489,42642958,39112663,36137484,32115781,29123946,5928290.478395891,7.917147813698219,1.0198298127127619,0.15425852236779755
69,HDB,Tirfield,Quenvia,Oceania,46744533,46661913,44608877,42040571,40351735,34500404,31259773,28834786,15799712.849019542,2.9585685161930493,1.0332488382673706,0.15363202806614437
70,NOM,Varcove,Nirdor,Asia,39040112,38198373,36321453,35335653,31779557,29047612,26176063,24111937,202504.39235549662,192.78649487989895,1.0221024366508762,0.12831043969333095
71,PBA,Casova,Pelova,Africa,38885542,37221178,36952385,35349147,31847537,28980457,26497432,23278893,12299788.2307238,3.161480610118742,0.9579416110780513,0.1278024251501504
72,OUX,Fenfield,Velland,Asia,37100620,35558486,35570230,31842566,30578068,27423075,24730477,22561529,1565040.900820355,23.705846908251914,0.9777787082696079,0.12193604529349683
73,TOC,Brastan,Kagora,Europe,36992290,36518038,34613613,34023108,31011447,27495139,25602113,22390064,10968038.542670751,3.3727352302859672,1.0137137852182694,0.12158000456461832
74,VSA,Fendale,Varland,Europe,35055376,34709561,33397019,32440902,28882867,25390857,23789162,21089742,10636131.470557801,3.295876522120646,1.0589972203417024,0.11521408309932721
75,IJK,Lusnia,Kania,Europe,30961925,30886779,28359259,28380106,25581152,23434677,21336675,17956173,9009905.588290129,3.436431680287546,0.9666099029181584,0.10176042042353609
76,KLE,Lusfield,Kagale,Africa,30848182,29956677,29422665,28069143,25466761,22880581,21287289,19127408,6028833.926995261,5.116774217626289,0.9673638387529413,0.10138658916142192
77,AJB,Bragale,Casdor,Americas,28996487,27867491,27464904,26778496,23908730,22261104,18425568,16698600,12575431.141266875,2.305804602185499,1.0268836601410978,0.09530075109753669
78,JIG,Mirastan,Tirthia,Americas,26364320,26038337,25206242,24051903,21733329,19997581,17751605,16007845,13995271.347617323,1.8838019889116686,1.0229199326124432,0.08664978961678386
79,LQF,Velwick,Braport,Europe,22651514,21834359,21797885,20426759,19366278,16547420,15086892,14336512,7556239.896812835,2.9977229825053913,1.040980818011926,0.0744471665721564
80,UQM,Morgora,Miraburg,Europe,22376265,21424096,21417283,20109846,18917780,16762269,15667978,13592882,7058584.078356322,3.170078411138029,0.99718777898986,0.07354252469471635
81,YVI,Morgale,Boland,Asia,21452541,20792267,20437617,19532396,17742793,16159441,14517185,12631522,5791356.5411446905,3.7042342061985702,1.0305032452318497,0.07050658482355814
82,ZBV,Lusland,Lusdor,Europe,19964809,19876620,19164458,18012900,16727692,14807247,14249542,12589838,5323757.338656594,3.7501350512414517,0.9667575578862564,0.06561695881362664
83,UFV,Kurvia,Brawick,Americas,19749561,19321462,18881346,18104209,16753362,14542344,13174815,11310932,982793.9607138792,20.095321898045007,0.9995057937808114,0.0649095180787458
84,EUT,Silmoor,Braland,Europe,18657741,18802963,17220473,17054479,15669093,13824038,12583339,11456273,2832692.180533009,6.586575529886659,0.9697284919111588,0.061321108694418924
85,UQW,Vardor,Boova,Americas,18262327,17962574,17488293,16555333,15279360,13674785,12736519,10546665,14067774.154032819,1.2981674854912797,0.9761568918627113,0.06002152881101852
86,GGG,Nirwick,Nirstan,Asia,18127701,17652150,17299155,16297740,14803367,13794977,12247601,11025891,7154641.401419596,2.533698054580789,0.9974759539485536,0.05957906283514851
87,YKC,Nalburg,Ashdor,Asia,16693307,16654075,16033209,15247210,13949315,12521153,11538710,10087109,6198791.616136236,2.6929937371253483,0.9595241356612789,0.0548647391458754
88,ZEQ,Miramoor,Cashaven,Africa,16240172,15354653,15197454,14219357,13156708,11988523,11129620,10254443,6663053.708896039,2.437346704607419,1.0344450155082503,0.05337545163844105
89,SPI,Dorstan,Kurdor,Europe,16216334,15696694,15065861,14708306,13892793,11788284,10646487,8877113,3975607.6182978246,4.078957371286832,1.0506331064259586,0.05329710493028074
90,RRL,Fennia,Rennia,Africa,15691687,15694846,14997334,14775769,12607642,11157872,10680973,9112042,14936338.054485468,1.0505712272150733,0.9873623024312556,0.05157278387162735
91,VFC,Bogale,Pellyn,Oceania,15303698,14680580,14411317,14160634,12304559,11614076,10665695,9435064,9824078.808799872,1.557774351961813,0.9702266746959178,0.050297607222898076
92,TLC,Velland,Bracove,Europe,13479706,12875398,12893384,12263940,11185709,9843508,8701901,8198807,5392696.349034946,2.4996226613820505,0.9844710704782391,0.04430281869572586
93,FLK,Bramoor,Nirlyn,Africa,12892907,12848631,12283768,11584099,10687897,9625732,8719884,7797116,5136476.507102759,2.5100683283904037,0.9600129521724591,0.04237422695137823
94,DEM,Ordmoor,Naldale,Africa,12288099,12178725,11739208,11062714,10528120,9171887,8380703,7345582,947966.8230675191,12.962583395310215,0.9675685322740456,0.04038644627057372
95,BOF,Silgora,Velmoor,Asia,12005751,11859267,11555942,11011303,10006624,9129372,8394515,7112594,11215272.640744882,1.0704823132327006,1.0229410611307916,0.039458472600146434
96,XMI,Kurmoor,Morstan,Americas,11943041,11708139,11257902,10613127,10091598,9132534,8004326,7298431,6056589.013764509,1.9719087712337164,0.9620930700507009,0.039252367974392056
97,PGU,Toldor,Nirgale,Africa,11484273,11204578,10876163,10592703,9553420,8449100,7527767,7184440,2650115.9350234056,4.333498338025945,1.0015642807911695,0.03774456687491698
98,IRB,Lusdor,Mormark,Asia,11379277,11148085,11001603,10426042,9627775,8605992,7693605,6964163,8166473.767188676,1.3934137700557798,0.9894617543968621,0.03739948377356622
99,SAI,Nallyn,Morport,Americas,11106219,10897394,10582936,10070445,8996502,8464390,7545422,6373092,16655980.28255615,0.6668006812923266,0.9748893338764429,0.036502042904498495
100,LWO,Varmark,Zarvia,Oceania,10864607,10650431,10257917,10001224,9040829,8041421,7408353,5930727,12299733.204248592,0.8833205419648559,0.9902328806009236,0.03570795343172277
101,FMH,Nirreth,Bomoor,Africa,10828428,10771261,10244676,9814982,9015692,7896762,7367860,6783708,15703617.670677476,0.6895499003531743,0.9833713270584508,0.03558904641122895
102,HNE,Kagale,Ashgora,Americas,10557742,10218235,10043576,9512548,9089845,7946738,7096392,6362242,8817504.907558179,1.1973616244829222,0.9936453029896675,0.03469940143073225
103,XVB,Varstan,Zardale,Americas,9330113,8924478,8716223,8624701,7823967,7103580,5994224,5598690,15591201.21958096,0.5984216910934566,0.9572654420293046,0.03066463798614264
104,VWG,Ashcove,Bradale,Americas,8739991,8669793,8430216,8047318,7135029,6608301,5961917,5372082,7468863.48654152,1.1701902191342741,0.9716515888917,0.028725124767207514
105,YJB,Silcove,Silcove,Asia,7986669,7832886,7765107,7487129,6834881,5987867,5286364,4937303,10519570.034146246,0.7592200987374469,0.9524101719132839,0.02624923338014747
106,YRF,Nirland,Tirlyn,Americas,7971690,7931700,7482957,7267426,6689617,6047944,5373094,4723079,14196372.21905637,0.5615300780363645,0.9700874703457344,0.026200002935414978
107,IDW,Quendale,Brania,Asia,6135189,5970225,5856445,5610060,5065236,4506746,4244170,3617727,11362791.50202899,0.5399367751229505,1.0229817388192364,0.020164101941912652
108,IVT,Casnia,Ordgale,Europe,6052384,5927163,5801723,5656168,5026977,4699770,4097215,3587557,8827962.140924532,0.6855924281712141,1.0350362433413056,0.019891952467576968
109,LXQ,Bomark,Dormoor,Europe,5706884,5615135,5347440,5239875,4781884,4305186,3740489,3421251,8757417.724785002,0.6516628736172462,0.9748971292974389,0.0187564214805233
110,RJB,Ashdor,Ordreth,Asia,5673768,5569468,5465249,5251997,4746576,4158283,3943496,3190955,7144911.109145805,0.7940991725897504,1.0081247216924556,0.018647581410574616
111,HWA,Ordwick,Tirland,Asia,5417200,5196373,5015850,4998969,4458908,4159949,3747810,3167749,15314991.828590814,0.35371876528767665,1.0269068141425688,0.01780433708557784
112,MWE,Bragora,Boport,Asia,4956136,4844854,4638114,4570245,4119534,3634081,3439816,3004024,12132686.590520276,0.40849452122767393,1.0490201933545347,0.016288989881482578
113,FAU,Tirstan,Quendor,Oceania,4112000,4083090,4021652,3774662,3417549,2995785,2789065,2479083,3825727.7025429406,1.0748281947162042,0.9815148365293744,0.013514626392951356
114,SAD,Dorport,Nalmark,Africa,4075804,4024685,3839431,3770837,3457520,3089098,2639202,2489297,14173970.495485563,0.28755555835946967,1.0438303658213748,0.01339566349973169
115,GBB,Boova,Kaburg,Europe,4028674,4005553,3841857,3753418,3344442,3081689,2713026,2313550,12412889.48421479,0.32455569713427157,0.9776204587514548,0.013240764583900024
116,UIJ,Lusthia,Morgora,Asia,3879620,3869390,3758348,3571139,3288792,2821544,2685783,2406645,11114741.459382989,0.34905175385117493,0.9818698379089231,0.012750879096941134
117,YJE,Bothia,Tirreth,Americas,3762379,3699638,3506840,3330953,3196112,2936430,2481636,2270460,9349490.925398367,0.40241538603768323,1.0350212770260885,0.012365551199826344
118,NFI,Peldale,Quenreth,Asia,3696065,3627919,3543533,3464647,3119183,2818661,2729596,2290474,4341485.498746279,0.8513364840369358,0.9590680398191589,0.012147601556192546
119,YCX,Silthia,Taova,Africa,3603696,3457903,3375862,3291270,2994394,2746522,2499502,2161336,3693661.062478395,0.9756433898626232,0.9733013094982316,0.011844018743621895
120,ZDO,Nircove,Lusnia,Europe,3081956,3008331,2986541,2863071,2444775,2307472,2115210,1843696,6291607.578890596,0.48985191167047387,0.9621704658246399,0.010129251921088225
121,INC,Nirnia,Renhaven,Asia,2977473,2928376,2856972,2645823,2458247,2266529,2032986,1786600,5718980.908684169,0.5206299946689386,1.035990902026218,0.009785854861405653
122,IHZ,Nalgale,Kurfield,Europe,2739382,2641601,2618563,2563899,2253891,2041803,1862771,1628008,1058012.5290224627,2.589177278014862,1.0154195601669986,0.009003337616141992
123,YUS,Brania,Ashthia,Americas,2596475,2521755,2469277,2333789,2136218,1947640,1747137,1612730,9566947.921889538,0.2714005575444983,1.016951249704107,0.008533655049522951
124,ERV,Ashgale,Tolvia,Africa,2563865,2522382,2464076,2271590,2140305,1917712,1752217,1526809,12785616.585345317,0.20052728649306314,1.0196346009202049,0.00842647801482593
125,MIX,Zargora,Quenmark,Africa,2389732,2315498,2264848,2160206,2024851,1814635,1631860,1417881,2820055.251290095,0.8474060920993536,0.9929970123475482,0.007854167110719948
126,LWB,Mirahaven,Tamoor,Africa,2244319,2146494,2138099,2035172,1860894,1699721,1531871,1290945,13673890.370792437,0.16413170934834223,1.0429405863597758,0.007376248246984969
127,DTE,Nalova,Tircove,Asia,2118290,2039784,2030192,1921167,1747762,1584896,1415524,1287469,8367963.409655653,0.2531428373068339,1.0380586609951372,0.006962037437238553
128,MFA,Tirmark,Morthia,Asia,2072168,2040971,1925646,1870579,1676888,1581602,1382703,1243770,14069253.243812678,0.1472834388641977,0.995051789886425,0.006810451445386484
129,KMA,Renova,Boburg,Asia,1926794,1878500,1769123,1764770,1580742,1404269,1345132,1150578,13611471.660044204,0.14155662577295058,1.0387301250062495,0.006332660760257859
130,KQC,Fencove,Bramoor,Asia,1906161,1857800,1817398,1719919,1563185,1432072,1279528,1157862,13451408.573504537,0.14170716691741836,1.02423044884033,0.006264847704235055
131,CKL,Pelnia,Taport,Asia,1805533,1806294,1691963,1657677,1503585,1378371,1222406,1012066,6943692.20038294,0.2600249187169365,1.0590839736364415,0.005934120606795875
132,WVN,Casgale,Kawick,Americas,1752373,1713917,1672797,1558107,1432147,1315774,1194877,1066526,12839709.084375868,0.13648074021648926,0.9735362969534606,0.005759403306443421
133,ESM,Rendor,Vargale,Africa,1700293,1672389,1605344,1559137,1399952,1281728,1161115,1020870,16461834.968805926,0.10328696668518068,1.019020083090898,0.005588235567497674
134,ROL,Tacove,Tirburg,Asia,1537611,1494696,1474826,1375277,1284893,1130138,1060947,871200,3519932.7641251767,0.43682965074537405,1.0122140411261378,0.005053559874195604
135,LFZ,Kurcove,Tirport,Africa,1531667,1516389,1499777,1351798,1310568,1141350,989682,925970,7051078.287877841,0.21722450630469242,1.0153132636588267,0.005034024139934977
136,LXB,Casdale,Tirvia,Asia,1504310,1495018,1433675,1335672,1270338,1136919,1012463,896478,236130.66659040487,6.37066765499542,0.9975246661504146,0.004944111777524478
137,MVL,Ordcove,Pelthia,Americas,1369402,1369492,1307066,1255493,1173388,998754,924065,849894,6933849.999071335,0.1974951866832145,1.010570551937895,0.004500718971731608
138,ULO,Varwick,Ashhaven,Oceania,1254628,1243769,1173375,1150368,1063970,933722,832375,743941,7948671.6052824715,0.15784121703634205,0.9657750907649139,0.004123499193126404
139,XDN,Tirhaven,Morova,Oceania,1191039,1178268,1129405,1066412,994708,906671,810280,708499,2618914.3578886446,0.4547834855356666,0.957094242913099,0.003914505618782683
140,FGX,Bravia,Kurnia,Americas,1120711,1075132,1042992,1022953,925591,860250,739091,682590,2053968.0790631033,0.5456321407444662,0.9721872058431499,0.003683363438587282
141,IGT,Tirgora,Lusgale,Americas,1093475,1074999,1073428,1019128,918876,835278,732744,683270,16089695.401817378,0.06796119955611396,0.9545561998166205,0.003593848758519573
142,ZRM,Varport,Ordwick,Americas,995700,982131,917257,898125,822129,741816,692678,585792,4616499.535871543,0.21568289832222914,1.0475589525435085,0.003272498419129782
143,ZVY,Nalthia,Sildale,Americas,956126,961889,903781,850956,794811,723110,644335,583722,4155335.414951707,0.23009598612898305,1.0577159505772908,0.003142433286621354
144,ZTC,Ordburg,Tawick,Europe,943432,920410,867921,846859,767664,702720,636632,566267,13739132.00466639,0.06866751114113837,0.9977035805270797,0.0031007127935687947
145,CWM,Nalcove,Ashgale,Africa,904218,886786,838900,825192,735018,706671,611166,543921,12169050.033707444,0.07430473188090915,0.9797238755523997,0.002971830848195936
146,KIA,Renvia,Velgale,Europe,901056,869153,866826,827435,767993,669556,609952,557747,11025832.239057086,0.08172226644335893,0.9866791896531866,0.002961438521188516
147,UAJ,Bohaven,Silland,Asia,861053,849376,815888,778656,709854,636926,569245,526378,5783590.023030845,0.14887863706991664,1.0030636498948198,0.0028299634240102002
148,JOP,Velgora,Velgora,Asia,771352,762680,739783,689703,636923,575560,522349,466003,7951833.490835213,0.09700303721009905,1.01973047607948,0.0025351493427664914
149,FSF,Kareth,Kurdale,Asia,738032,713902,707507,671048,618732,546853,531806,445061,12329142.086885056,0.05986077496706529,1.006036740716974,0.002425638800107654
150,NSP,Tolburg,Kurlyn,Africa,705895,703276,656944,623143,569182,529803,479311,444806,3521051.68552616,0.20047845446339033,1.0314989857064545,0.0023200163418415362
151,NIE,Ordgora,Tirwick,Asia,694162,674897,646598,609707,552754,518876,469967,409255,7016240.249614085,0.09893646387581741,0.9630238870660172,0.002281454301114761
152,XXA,Zarmoor,Bodale,Africa,677238,655097,619583,634208,548584,499068,452147,412301,5775053.187460609,0.11726956930379256,1.0497566086942314,0.0022258313592192582
153,LLH,Tolport,Kurgora,Americas,632096,613367,608903,570367,518696,459627,434909,376321,2451342.2856549793,0.25785709474313945,0.9813646661810589,0.002077466265680686
154,LQU,Zarburg,Zarmark,Asia,618453,621787,580348,554553,507746,467291,412138,378653,8655222.09797674,0.07145431890702962,0.9908767391531544,0.0020326267598735274
155,ZPU,Luswick,Pelfield,Africa,593835,580406,569682,534861,492411,453520,398250,368840,2816103.560233828,0.21087115132608703,1.019512323189141,0.0019517164795861547
156,TRL,Renreth,Peldor,Asia,583953,578790,537852,531863,489335,439178,394250,338197,10907409.846130202,0.05353727495691184,0.9731940479192089,0.0019192379927147674
157,VNX,Lusport,Bohaven,Americas,530525,515608,504709,472894,433291,391137,357756,329117,16337666.53091337,0.0324725075638045,1.0264710058984934,0.0017436398752724992
158,JON,Bomoor,Nalwick,Africa,526226,504115,496041,481381,442186,400634,360013,310975,16910885.305768598,0.031117590267169225,1.0466798478113273,0.0017295106488952384
159,PMQ,Kurthia,Naldor,Europe,522714,499272,489394,486881,447888,386940,359543,328140,2117529.843807537,0.2468508302391178,0.9672144363425975,0.0017179680010615697
